ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response
1	1990	Master	Single	1000000000.0	0	0	01-01-2020	30	237.82	140.25	288.31	180.23	104.04	164.14	0	0	0	0	1	0	0	0	0	0	0	3	11	0
2	1990	Master	Single	50000000.0	0	0	01-01-2020	30	38.28	14.72	56.58	27.63	22.36	2.85	0	0	0	0	1	0	0	0	0	0	0	3	11	0
3	1990	Basic	Single	0.0	0	0	01-01-2020	30	36.73	14.03	20.68	15.66	10.14	25.36	0	0	0	0	1	0	0	0	0	0	0	3	11	0
4	1990	Basic	Single	100000000.0	1	1	01-01-2020	30	218.54	80.71	68.55	88.36	17.02	72.39	0	1	0	0	2	0	0	0	0	0	0	3	11	0
5	1990	Master	Single	0.0	0	0	01-01-2020	30	33.42	11.56	0.69	2.35	7.57	14.54	0	2	1	0	4	0	0	0	0	0	0	3	11	0
6	1990	Master	Single	10000000.0	0	0	01-01-2020	30	32235.04	10745.01	21490.03	16117.52	10745.01	16117.52	1	2	1	1	3	0	0	0	0	0	0	3	11	1
7	1990	Master	Married	200000000.0	1	0	01-01-2020	30	181.05	65.79	217.22	102.5	43.89	61.26	0	2	1	0	4	0	0	0	0	0	0	3	11	0
8	1990	Master	Single	100000000.0	0	0	01-01-2020	30	253.12	41.56	117.23	54.48	82.64	16.71	0	1	0	0	2	0	0	0	0	0	0	3	11	0
9	1990	Master	Single	0.0	0	0	01-01-2020	30	28743.41	9581.14	19162.27	14371.7	9581.14	14371.7	1	2	1	1	3	0	0	0	0	0	0	3	11	1
10	1990	Master	Single	200000000.0	0	0	01-01-2020	30	82609.42	27536.47	55072.95	41304.71	27536.47	41304.71	2	2	1	2	2	0	0	0	0	0	0	3	11	1
11	1990	Master	Single	0.0	0	0	01-01-2020	30	14451.32	4817.11	9634.22	7225.66	4817.11	7225.66	1	1	0	1	1	0	0	0	0	0	0	3	11	1
12	1990	Master	Single	0.0	0	0	01-01-2020	30	28.65	17.87	13.32	25.44	12.06	29.37	0	1	0	0	3	0	0	0	0	0	0	3	11	0
13	1990	Master	Single	0.0	0	0	01-01-2020	30	35703.3	11901.1	23802.2	17851.65	11901.1	17851.65	1	2	1	1	3	0	0	0	0	0	0	3	11	1
14	1990	Master	Single	1000000.0	0	0	01-01-2020	30	11.89	5.36	9.8	7.82	3.26	7.44	0	0	0	0	1	0	0	0	0	0	0	3	11	0
15	1990	Master	Single	5000000.0	0	0	01-01-2020	30	18.64	1.83	13.28	3.52	8.55	4.43	0	2	1	0	4	0	0	0	0	0	0	3	11	0
16	1990	Master	Single	0.0	0	0	01-01-2020	30	36.87	0.0	11.7	18.62	21.25	0.24	0	0	0	0	1	0	0	0	0	0	0	3	11	0
17	1990	Master	Single	2000000.0	0	0	01-01-2020	30	29276.57	9758.86	19517.71	14638.29	9758.86	14638.29	2	1	0	2	1	0	0	0	0	0	0	3	11	1
18	1990	Master	Single	0.0	0	0	01-01-2020	30	58.85	13.24	11.67	21.33	10.71	22.87	0	0	0	0	1	0	0	0	0	0	0	3	11	0
